HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM2728	"AY406950,AY406951,AY406952"			Molecular function unknown	Biological process unknown	4.86E-01	4.86E-01	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	1.31E-04	1.31E-08	1.00E-04	58	12.14	0.47	12.61	5.64	0.76	6.4	0.06	0.22	0	0.96	1.24	1.51	1.36	2.87	0	0	0	0.89	0	0.98	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.89E-05	-864.9432	7.96E-01	1.00E+03	1.23E+02	-864.9431	7.96E-01	8.15E+00	2.57	8	144557140
HCM1711	"AY403899,AY403900,AY403901"			Other receptor->Receptor	Biological process unclassified	4.74E-01	1.04E-02	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	2.22E-02	2.22E-06	1.00E-04	51	13.62	1.02	14.64	1.15	3.71	4.86	1.79	0	0	0	1.79	0.11	0	0.11	0	0	0	0.14	0	0.41	0	0	0	0	0	0	1.00E+00	3.56E-01	-2.68E-04	-629.9879	5.46E-01	9.96E+02	2.00E+02	-629.9877	5.46E-01	4.97E+00	0.46	4	34328038
HCM0623	"AY400635,AY400636,AY400637"			Molecular function unclassified	Biological process unclassified	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.23E-04	1.23E-08	1.00E-04	1.23E-04	1.23E-08	1.00E-04	56	9.59	0.06	9.65	0	1.01	1.01	0	0	1.14	0	1.14	0.55	0	0.55	0	0	0	0.27	0	0.45	0	0	0	0	0	0	1.00E+00	1.00E+00	-9.07E-05	-371.8251	6.69E-01	9.96E+02	1.79E+02	-371.825	6.69E-01	5.51E+00	4.96	9	114511134
HCM1456	"AY403134,AY403135,AY403136"	10772	FUSIP1	Other miscellaneous function protein->Miscellaneous function	"mRNA splicing->Pre-mRNA processing->Nucleoside, nucleotide and nucleic acid metabolism"	4.73E-01	4.78E-02	1.00E+00	1.00E+00	1.32E-04	1.32E-08	1.00E-04	9.44E-03	9.44E-07	1.00E-04	45	16.84	2.2	19.04	5.76	1.5	7.26	1.22	0.2	3.22	0	4.64	1.29	0.49	1.78	0.11	0	0	0.2	0	0.29	0	0	0	0.05	0	0.05	1.00E+00	7.37E-02	-2.01E-02	-695.393	2.76E-01	4.51E+00	1.00E-04	-695.373	2.76E-01	1.00E+03	0.82	1	23057533
HCM2192	"AY405342,AY405343,AY405344"			KRAB box transcription factor->Zinc finger transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.54E-01	3.23E-03	1.00E+00	1.00E+00	1.14E-04	1.14E-08	1.00E-04	5.76E-03	5.76E-07	1.00E-04	48	40.54	1.05	41.59	3.04	1.19	4.23	0	0.34	0	0	0.34	0.14	0	0.14	0	0	0	0.68	0	0.54	0	0	0	0	0	0	1.00E+00	2.13E-01	-3.19E-04	-2938.76	2.19E-01	9.16E+02	8.84E+01	-2938.759	2.19E-01	1.04E+01	1.24	12	52380540
HCM4306	"AY411684,AY411685,AY411686"	57159	RNF30	Other miscellaneous function protein->Miscellaneous function	Biological process unclassified	7.62E-02	1.46E-01	1.00E+00	1.00E+00	1.70E-02	1.70E-06	1.00E-04	1.07E-02	1.07E-06	1.00E-04	50	23.74	3.08	26.82	1.8	3.14	4.94	0.45	0	0.54	0	0.99	0.8	0	0.8	0	0	0	0.26	0	0.71	0	0	0	0.03	0	0.03	3.74E-01	3.36E-01	5.20E-02	-1524.849	3.94E-01	1.00E+03	1.00E-04	-1524.901	3.94E-01	1.00E+03	0.7	2	27809316
HCM2960	"AY407646,AY407647,AY407648"	84328	LZIC	Molecular function unclassified	Biological process unclassified	4.81E-01	5.32E-02	1.00E+00	1.00E+00	1.20E-04	1.20E-08	1.00E-04	1.19E-02	1.19E-06	1.00E-04	47	41.4	2.36	43.76	3.69	4.23	7.92	0.54	0	0	0	0.54	0.31	0.29	0.6	0.39	0	0.1	0.41	0	0.48	0	0	0	0	0	0	1.00E+00	5.35E-02	-1.19E-02	-541.7876	5.99E-01	4.66E+00	1.00E-04	-541.7757	5.99E-01	1.00E+03	1.7	1	9110252
HCM7500	"AY421266,AY421267,AY421268"	25874		Molecular function unknown	Biological process unknown	9.55E-02	2.78E-01	1.00E+00	1.00E+00	1.82E-02	1.82E-06	1.00E-04	9.66E-03	9.66E-07	1.00E-04	39	15.65	2.87	18.52	20.65	2.54	23.19	0.72	1.22	1.74	0	3.68	1.04	0.19	1.23	0	0	0	0.31	0	0.38	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.21E-03	-418.4488	5.51E-01	1.00E+03	5.24E+01	-418.4436	5.52E-01	2.46E+01	1.4	1	142387463
HCM1984	"AY404718,AY404719,AY404720"			Homeotic transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism;Mesoderm development->Developmental processes;Tumor suppressor->Oncogenesis"	4.87E-01	4.87E-01	1.00E+00	1.00E+00	2.31E-04	2.31E-08	1.00E-04	2.31E-04	2.31E-08	1.00E-04	46	7.52	3.45	10.97	6.74	1.78	8.52	3.41	1.21	0	0	4.62	0.92	0	0.92	0	0	0	0.36	0	0.49	0	0	0	0	0	0	4.25E-01	4.12E-01	1.81E-02	-505.7366	2.30E-01	5.04E+00	1.00E-04	-505.7547	2.30E-01	1.00E+03	1.73	10	124878981
HCM0549	"AY400413,AY400414,AY400415"	118788		Molecular function unclassified	Biological process unclassified	1.11E-01	2.76E-01	1.00E+00	1.00E+00	5.79E-03	5.79E-07	1.00E-04	2.71E-03	2.71E-07	1.00E-04	44	13.81	5.02	18.83	5.22	2.71	7.93	1.8	1.29	0	0	3.09	2.66	0	2.66	0	0	0	0.37	0	1.07	0	0.1	0	0	0.03	0.13	1.00E+00	1.00E+00	-1.48E-03	-3398.697	7.03E-01	1.00E+03	2.34E+02	-3398.696	7.03E-01	4.27E+00	1.15	10	98339837
HCM1689	"AY403833,AY403834,AY403835"	23612	PHLDA3	Molecular function unknown	Biological process unknown	4.90E-01	4.90E-01	1.00E+00	1.00E+00	2.66E-04	2.66E-08	1.00E-04	2.66E-04	2.66E-08	1.00E-04	50	16.69	5.83	22.52	4.33	2.73	7.06	3.54	0	1.5	0	5.04	2.52	0.62	3.14	0	0	0	0.31	0	1.11	0	0	0	0.03	0	0.03	4.31E-01	3.85E-01	1.50E-02	-425.5693	2.07E-01	4.90E+00	1.00E-04	-425.5843	2.07E-01	1.00E+03	1.87	1	176634172
HCM3882	"AY410412,AY410413,AY410414"	29107	NXT1	Molecular function unclassified	Biological process unclassified	4.78E-01	8.89E-03	1.00E+00	1.00E+00	1.33E-04	1.33E-08	1.00E-04	2.44E-02	2.44E-06	1.00E-04	46	8.33	0.86	9.19	9.57	3.38	12.95	3.49	2.58	4.47	0	10.54	1.41	0.81	2.22	0	0.13	0	0.75	0	0.73	0	0.11	0	0	0	0.11	4.14E-01	3.68E-01	2.35E-02	-555.1035	3.50E-01	5.55E+02	1.00E-04	-555.127	3.50E-01	1.00E+03	0.96	20	23292728
HCM1846	"AY404304,AY404305,AY404306"	66037	BOLL	Other RNA-binding protein->Nucleic acid binding	Gametogenesis->Developmental processes	4.86E-01	4.86E-01	1.00E+00	1.00E+00	1.44E-04	1.44E-08	1.00E-04	1.44E-04	1.44E-08	1.00E-04	38	4.97	1.31	6.28	15.91	2.14	18.05	2.41	0	0.89	0	3.3	1.38	0.6	1.98	0	0.12	0	0.64	0	0.67	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.27E-04	-380.5317	2.40E-01	9.94E+02	1.41E+02	-380.5313	2.40E-01	7.29E+00	0.45	2	195523036
HCM0983	"AY401715,AY401716,AY401717"	84878		KRAB box transcription factor->Zinc finger transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.74E-01	6.64E-02	1.00E+00	1.00E+00	1.01E-04	1.01E-08	1.00E-04	4.59E-03	4.59E-07	1.00E-04	54	25.71	0.35	26.06	3.31	1.37	4.68	1.71	0.76	1.19	0.97	4.63	0.11	0	0.11	0	0	0	0.51	0	1.35	0	0	0	0.08	0	0.08	1.00E+00	1.95E-01	-2.32E-04	-1316.924	1.09E+00	9.63E+02	2.29E+02	-1316.924	1.09E+00	4.22E+00	1.29	19	56931951
HCM3436	"AY409074,AY409075,AY409076"	154214		Molecular function unclassified	Biological process unclassified	4.86E-01	4.86E-01	1.00E+00	1.00E+00	1.25E-04	1.25E-08	1.00E-04	1.25E-04	1.25E-08	1.00E-04	37	5.2	1.28	6.48	10.96	7.64	18.6	1.89	0	1.67	0	3.56	4.1	0.77	4.87	0	0	0	0.54	0	0.58	0	0	0	0	0	0	4.54E-01	4.57E-01	6.57E-03	-1129.084	2.63E-01	4.35E+00	1.00E-04	-1129.091	2.63E-01	1.00E+03	1.16	6	125539608
HCM2140	"AY405186,AY405187,AY405188"			Molecular function unclassified	Biological process unclassified	3.80E-01	4.51E-01	1.00E+00	1.00E+00	1.11E-02	1.11E-06	1.00E-04	1.16E-04	1.16E-08	1.00E-04	40	11.82	1.55	13.37	16.65	2.76	19.41	2.47	1.94	0.99	0	5.4	0.2	1.68	1.88	0	0	0	0.23	0	0.31	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.71E-04	-639.7527	9.19E-01	9.93E+02	3.45E+02	-639.7523	9.19E-01	2.88E+00	0.63	6	144427855
HCM0328	"AY399750,AY399751,AY399752"			Nucleic acid binding	"Nucleoside, nucleotide and nucleic acid metabolism"	4.97E-01	4.97E-01	1.00E+00	1.00E+00	1.32E-04	1.32E-08	1.00E-04	1.32E-04	1.32E-08	1.00E-04	45	34.07	1.47	35.54	3.35	1.79	5.14	0.74	0.58	1.77	0	3.09	1.15	0.19	1.34	0	0	0	0.51	0	0.72	0	0	0	0	0	0	4.17E-01	8.21E-02	2.22E-02	-553.9976	3.04E-01	5.30E+00	1.00E-04	-554.0198	3.04E-01	1.00E+03	0.94	2	39258034
HCM7172	"AY420282,AY420283,AY420284"	2018	EMX2	Homeotic transcription factor->Transcription factor	Biological process unclassified	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.32E-04	1.32E-08	1.00E-04	1.32E-04	1.32E-08	1.00E-04	48	6.07	5.99	12.06	5.89	2.99	8.88	1.72	1.54	0	0	3.26	1.22	0	1.22	0	0	0	0.28	0	1.59	0	0	0	0	0	0	4.10E-01	1.00E+00	2.56E-02	-708.7818	2.87E-01	5.24E+00	1.00E-04	-708.8074	2.87E-01	1.00E+03	1.68	10	119298966
HCM0729	"AY400953,AY400954,AY400955"			Molecular function unclassified	Biological process unclassified	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.61E-04	1.61E-08	1.00E-04	1.61E-04	1.61E-08	1.00E-04	49	19.35	1.53	20.88	7.36	1.31	8.67	3.73	0.17	0.95	0.29	5.14	0.98	0.34	1.32	0.91	0	0	0.51	0	0.81	0	0	0	0	0	0	1.00E+00	4.65E-01	-2.80E-03	-323.8187	4.31E-01	4.56E+00	1.00E-04	-323.8159	4.31E-01	1.00E+03	1.77	7	137652001
HCM5456	"AY415134,AY415135,AY415136"	10773		Molecular function unclassified	Biological process unclassified	4.88E-01	4.88E-01	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	1.31E-04	1.31E-08	1.00E-04	40	22.47	2.07	24.54	8.5	6.61	15.11	0	0	0	0	0	0.76	0.46	1.22	0.12	0	0	0.26	0	0.58	0	0	0.1	0.04	0	0.14	1.00E+00	2.34E-01	-2.77E-03	-1361.544	3.31E-01	4.59E+00	5.49E-01	-1361.542	3.31E-01	8.36E+00	1.2	9	98933256
HCM2115	"AY405111,AY405112,AY405113"			Molecular function unclassified	Biological process unclassified	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.25E-04	1.25E-08	1.00E-04	1.25E-04	1.25E-08	1.00E-04	36	5.68	3	8.68	5.57	3.17	8.74	0.48	1.37	1.52	0	3.37	0.71	0.44	1.15	0	0	0	0.82	0	0.99	0	0	0	0	0	0	1.00E+00	4.05E-01	-1.65E-03	-610.3427	5.58E-01	4.20E+00	4.68E-01	-610.341	5.58E-01	8.97E+00	0.58	6	142864351
HCM6006	"AY416784,AY416785,AY416786"	6760	SS18	Molecular function unclassified	Biological process unclassified	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.10E-04	1.10E-08	1.00E-04	1.10E-04	1.10E-08	1.00E-04	36	11.34	1.3	12.64	23.1	3.66	26.76	1.98	0	0.62	0	2.6	2.76	2.2	4.96	0.07	0	0	0.74	0	0.3	0	0	0	0.03	0	0.03	1.00E+00	5.70E-02	-1.62E-03	-1310.18	2.63E-01	5.49E+00	4.03E-01	-1310.178	2.63E-01	1.36E+01	1.25	18	21867744
HCM1378	"AY402900,AY402901,AY402902"			Other transcription factor->Transcription factor	Developmental processes	4.89E-01	4.89E-01	1.00E+00	1.00E+00	1.20E-04	1.20E-08	1.00E-04	1.20E-04	1.20E-08	1.00E-04	49	32.84	1.27	34.11	5.21	5.84	11.05	0.83	0.21	1.18	0.98	3.2	0.66	1.06	1.72	0	0	0	0.4	0	0.44	0	0	0.17	0	0	0.17	1.00E+00	8.55E-03	-1.78E-03	-330.4095	4.86E-01	3.46E+00	4.40E+00	-330.4077	4.86E-01	7.88E-01	0.96	11	116041887
HCM1728	"AY403950,AY403951,AY403952"	28511		Molecular function unclassified	Biological process unclassified	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.91E-04	1.91E-08	1.00E-04	1.91E-04	1.91E-08	1.00E-04	51	23.55	2.57	26.12	0.99	3.22	4.21	1.51	0	0	0	1.51	0.69	0.27	0.96	0	0	0.1	0.22	0	0.48	0	0	0	0	0	0	3.90E-01	1.00E+00	3.92E-02	-777.924	3.97E-01	1.00E+03	1.00E-04	-777.9633	3.96E-01	1.00E+03	0.79	17	40259989
HCM1088	"AY402030,AY402031,AY402032"	91368		Molecular function unclassified	Biological process unclassified	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.23E-04	1.23E-08	1.00E-04	1.23E-04	1.23E-08	1.00E-04	45	30.9	0.92	31.82	4.64	2.48	7.12	2.57	0.38	2.16	0	5.11	1.65	0	1.65	0	0	0	0.57	0	0.68	0	0	0	0	0	0	4.66E-01	3.54E-03	3.55E-03	-275.2177	4.52E-01	4.57E+00	1.00E-04	-275.2212	4.52E-01	1.00E+03	1.04	5	136700328
HCM0537	"AY400377,AY400378,AY400379"			Molecular function unknown	Biological process unknown	4.99E-01	4.99E-01	1.00E+00	1.00E+00	1.23E-04	1.23E-08	1.00E-04	1.23E-04	1.23E-08	1.00E-04	38	2.4	2.96	5.36	10.3	3.81	14.11	2.03	2.19	0	0	4.22	0.82	0	0.82	0	0.44	0	0.52	0	0.56	0	0	0	0	0	0	1.00E+00	2.33E-01	-9.16E-04	-824.6757	3.17E-01	3.51E+00	2.03E+00	-824.6748	3.17E-01	1.73E+00	0.91	14	42909444
HCM3207	"AY408387,AY408388,AY408389"	11041	B3GNT6	Glycosyltransferase->Transferase	Protein glycosylation->Protein modification->Protein metabolism and modification	4.63E-02	2.11E-01	1.00E+00	1.00E+00	5.42E-03	5.42E-07	1.00E-04	3.17E-03	3.17E-07	1.00E-04	52	26.63	2.57	29.2	7.89	4.42	12.31	1.92	0.26	0	0.49	2.67	1.25	1.13	2.38	0.07	0	0	0.86	0	1.87	0	0	0	0.15	0.08	0.23	3.98E-01	4.46E-01	3.32E-02	-1834.987	4.35E-01	1.00E+03	1.00E-04	-1835.021	4.34E-01	1.00E+03	0.67	11	59707293
HCM3539	"AY409383,AY409384,AY409385"			Molecular function unclassified	Biological process unclassified	5.92E-02	7.64E-02	1.00E+00	1.00E+00	4.95E-03	4.95E-07	1.00E-04	4.46E-03	4.46E-07	1.00E-04	48	13.76	3.89	17.65	9.77	4.18	13.95	0.83	0	0.95	0	1.78	2.43	0.61	3.04	0	0	0	0.45	0	0.4	0	0	0	0	0	0	1.00E+00	5.55E-02	-3.37E-03	-1342.162	4.10E-01	1.00E+03	3.73E+02	-1342.159	4.11E-01	2.76E+00	1.35	14	57573124
HCM6001	"AY416769,AY416770,AY416771"			Molecular function unclassified	Biological process unclassified	9.44E-03	2.88E-01	1.00E+00	1.00E+00	1.47E-02	1.47E-06	1.00E-04	3.12E-03	3.12E-07	1.00E-04	38	11.77	1.39	13.16	18.63	4.18	22.81	0.34	1.34	2.58	0	4.26	1.85	0	1.85	0.04	1.54	0	0.65	0	0.32	0	0	0	0.03	0	0.03	4.33E-01	1.00E+00	1.42E-02	-1014.457	2.94E-01	1.00E+03	1.00E-04	-1014.471	2.94E-01	1.00E+03	0.67	5	89286126
HCM7541	"AY421389,AY421390,AY421391"	94274	PPP1R14A	Molecular function unclassified	Biological process unclassified	4.67E-01	6.49E-02	1.00E+00	1.00E+00	1.99E-04	1.99E-08	1.00E-04	6.70E-02	6.70E-06	1.00E-04	53	35.64	2.29	37.93	1.55	5.69	7.24	0.71	1.98	0	0	2.69	1.17	0.47	1.64	0	0	0	0.88	0	1.1	0	0	0.08	0	0	0.08	4.43E-01	4.41E-01	1.01E-02	-312.2266	4.66E-01	9.98E+02	1.00E-04	-312.2367	4.65E-01	1.00E+03	0.67	19	36522452
HCM3221	"AY408429,AY408430,AY408431"	3151	HMGN2	Chromatin/chromatin-binding protein->Nucleic acid binding	"Chromatin packaging and remodeling->Nucleoside, nucleotide and nucleic acid metabolism"	4.95E-01	4.95E-01	1.00E+00	1.00E+00	9.83E-05	9.83E-09	1.00E-04	9.83E-05	9.83E-09	1.00E-04	47	34.32	5.08	39.4	4.21	4.33	8.54	0.65	0.38	0.52	0	1.55	1.4	1.68	3.08	0	0	0	0.21	0	0.81	0	0	0	0	0	0	4.75E-01	3.50E-01	1.95E-03	-221.838	1.75E-01	4.46E+00	1.00E-04	-221.84	1.75E-01	1.00E+03	0.57	1	25550392
HCM5268	"AY414570,AY414571,AY414572"	1318	SLC31A2	Molecular function unclassified	Biological process unclassified	4.82E-01	5.30E-02	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.07E-02	1.07E-06	1.00E-04	44	10.44	4.66	15.1	7.79	1.62	9.41	1.5	0	1.5	1.04	4.04	0.84	0.35	1.19	0.07	0.12	0	0.23	0	0.9	0	0	0	0.04	0	0.04	1.00E+00	1.00E+00	-7.07E-04	-709.1811	8.05E-01	7.44E+02	9.92E+02	-709.1804	8.03E-01	7.37E-01	1.54	9	89187462
HCM1660	"AY403746,AY403747,AY403748"			Molecular function unclassified	Biological process unclassified	4.94E-01	4.94E-01	1.00E+00	1.00E+00	1.09E-04	1.09E-08	1.00E-04	1.09E-04	1.09E-08	1.00E-04	46	23.61	3.2	26.81	2.73	4.2	6.93	0.45	1.54	0.04	0.92	2.95	0.2	0.18	0.38	0	0	0	0.32	0	0.94	0	0	0	0	0	0	4.24E-01	4.62E-01	1.84E-02	-473.4388	3.43E-01	4.96E+00	1.00E-04	-473.4572	3.43E-01	1.00E+03	0.03	1	121446253
HCM2041	"AY404889,AY404890,AY404891"	84295	PHF6	Molecular function unclassified	Biological process unclassified	4.98E-01	4.98E-01	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.24E-04	1.24E-08	1.00E-04	39	18.15	2.41	20.56	12.56	4.78	17.34	0	0.07	0.74	0	0.81	1.31	0	1.31	0	0	0	0.38	0	0.55	0	0	0	0	0	0	1.00E+00	1.61E-02	-1.45E-04	-240.6362	2.31E-01	3.14E+00	3.12E+00	-240.6361	2.31E-01	1.01E+00	1.12	X	121955734
HCM1987	"AY404727,AY404728,AY404729"	221504		Molecular function unclassified	Biological process unclassified	2.99E-01	1.36E-02	1.00E+00	1.00E+00	3.45E-03	3.45E-07	1.00E-04	1.82E-02	1.82E-06	1.00E-04	49	15.88	0.71	16.59	9.17	1.61	10.78	1.95	2.26	2.61	0	6.82	1.83	0	1.83	0	0	0	1.39	0	1.41	0	0	0	0.03	0	0.03	1.00E+00	4.66E-01	-1.41E-03	-1373.579	5.43E-01	1.00E+03	1.71E+02	-1373.578	5.43E-01	5.86E+00	0.53	6	34996017
HCM1503	"AY403275,AY403276,AY403277"	8517	IKBKG	Molecular function unclassified	Biological process unclassified	4.35E-01	3.23E-01	1.00E+00	1.00E+00	1.80E-04	1.80E-08	1.00E-04	1.20E-02	1.20E-06	1.00E-04	49	6.26	0.35	6.61	12.38	0.69	13.07	4.91	0.3	3.7	3.67	12.58	0.21	0	0.21	0	0	0	0.38	0	0.44	0	0	0	0.03	0	0.03	1.00E+00	6.78E-02	-6.03E-04	-904.3836	8.23E-01	1.00E+03	4.04E+00	-904.383	8.23E-01	2.48E+02	1.34	X	140862058
HCM0111	"AY399099,AY399100,AY399101"	84803		Molecular function unclassified	Biological process unclassified	4.52E-01	2.46E-02	1.00E+00	1.00E+00	1.23E-04	1.23E-08	1.00E-04	9.44E-03	9.44E-07	1.00E-04	41	19.5	1.46	20.96	12.61	0.86	13.47	3.86	1.3	4.23	0.51	9.9	1.71	0.51	2.22	0	0	0	0.7	0	1.28	0	0	0	0.04	0	0.04	4.24E-01	4.27E-01	1.81E-02	-1355.066	4.90E-01	1.00E+03	1.00E-04	-1355.084	4.89E-01	1.00E+03	0.96	4	83499624
HCM1951	"AY404619,AY404620,AY404621"			Molecular function unclassified	Biological process unclassified	4.26E-01	5.68E-02	1.00E+00	1.00E+00	1.31E-04	1.31E-08	1.00E-04	7.00E-03	7.00E-07	1.00E-04	40	11.96	1.34	13.3	19.13	2.7	21.83	4.14	1.97	0	0	6.11	0.28	1.57	1.85	0.06	0	0	0.49	0	0.37	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.66E-03	-2006.272	5.09E-01	9.99E+02	3.10E+02	-2006.27	5.09E-01	3.28E+00	0.74	3	116077582
HCM0834	"AY401268,AY401269,AY401270"			Molecular function unclassified	Biological process unclassified	6.65E-02	4.73E-01	1.00E+00	1.00E+00	9.58E-03	9.58E-07	1.00E-04	1.16E-04	1.16E-08	1.00E-04	42	18.01	2.15	20.16	8.74	4.65	13.39	1.41	1.28	1.94	0	4.63	0.94	1.05	1.99	0.32	0	0	0.34	0	0.43	0	0	0	0	0	0	1.00E+00	4.18E-01	-2.62E-03	-718.9326	7.95E-01	4.91E+02	9.96E+02	-718.9299	7.93E-01	4.76E-01	0.79	16	26026431
HCM2870	"AY407376,AY407377,AY407378"			Molecular function unclassified	Biological process unclassified	7.61E-02	4.53E-01	1.00E+00	1.00E+00	4.23E-03	4.23E-07	1.00E-04	1.34E-04	1.34E-08	1.00E-04	48	29.03	4.88	33.91	2.44	6.79	9.23	2.36	0	0.88	0	3.24	1.76	0.06	1.82	0	0	0	0.27	0	1.74	0	0	0	0.03	0	0.03	1.00E+00	1.00E+00	-1.76E-03	-1892.589	1.10E+00	9.71E+02	9.96E+02	-1892.587	1.10E+00	9.61E-01	0.79	16	26181186
HCM7358	"AY420840,AY420841,AY420842"			Molecular function unclassified	Biological process unclassified	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.24E-04	1.24E-08	1.00E-04	1.24E-04	1.24E-08	1.00E-04	50	34.27	4.68	38.95	3.01	3.45	6.46	0	0.48	1.4	0	1.88	1.21	1.81	3.02	0	0	0	0.13	0	0.76	0	0	0.09	0	0	0.09	1.00E+00	3.88E-01	-1.06E-03	-562.2452	2.49E-01	4.42E+00	2.09E-01	-562.2441	2.49E-01	2.11E+01	0.34	22	26105666
HCM7319	"AY420723,AY420724,AY420725"	11020	RABL4	Molecular function unclassified	Biological process unclassified	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.12E-04	1.12E-08	1.00E-04	1.12E-04	1.12E-08	1.00E-04	50	10.38	9.39	19.77	2.53	6.13	8.66	2.78	1.76	0.46	0	5	0.85	0.81	1.66	0.04	0	0	0.06	0	1.52	0	0	0	0	0	0	1.00E+00	4.17E-01	-1.47E-03	-423.7402	4.86E-01	4.24E+00	3.81E+00	-423.7387	4.86E-01	1.11E+00	2.35	22	20915200
HCM6175	"AY417291,AY417292,AY417293"	23107	MRPS27	Molecular function unclassified	Biological process unclassified	4.56E-01	8.76E-02	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	6.28E-03	6.28E-07	1.00E-04	39	10.72	2.09	12.81	14.27	2.85	17.12	1.2	0	1.26	0	2.46	2.46	1.66	4.12	0	0	0	0.54	0	0.51	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.91E-04	-1115.485	7.27E-01	1.00E+03	8.27E+02	-1115.485	7.28E-01	1.22E+00	0.68	5	71072469
HCM3575	"AY409491,AY409492,AY409493"			Molecular function unclassified	Biological process unclassified	4.94E-01	4.94E-01	1.00E+00	1.00E+00	1.44E-04	1.44E-08	1.00E-04	1.44E-04	1.44E-08	1.00E-04	45	23.64	1.27	24.91	11.3	2.24	13.54	3.1	0.41	0.66	0	4.17	0.59	1.11	1.7	0	0	0.19	0.31	0	0.42	0	0	0	0	0	0	4.52E-01	2.88E-01	7.14E-03	-295.3199	1.69E-01	4.60E+00	1.00E-04	-295.327	1.69E-01	1.00E+03	1.19	16	64782531
HCM0169	"AY399273,AY399274,AY399275"			Molecular function unclassified	Biological process unclassified	4.96E-01	4.96E-01	1.00E+00	1.00E+00	1.20E-04	1.20E-08	1.00E-04	1.20E-04	1.20E-08	1.00E-04	42	27.22	2.05	29.27	2.75	1.98	4.73	1.84	0.39	0.29	0	2.52	2.86	1.19	4.05	0	0	0	0.21	0	0.37	0	0	0	0.07	0	0.07	1.00E+00	1.00E+00	-9.94E-04	-1862.781	3.51E-01	4.19E+00	1.75E+00	-1862.78	3.51E-01	2.40E+00	0.74	8	96554756
HCM1346	"AY402804,AY402805,AY402806"			Molecular function unclassified	Biological process unclassified	4.99E-01	4.99E-01	1.00E+00	1.00E+00	1.16E-04	1.16E-08	1.00E-04	1.16E-04	1.16E-08	1.00E-04	42	15.4	1.45	16.85	18.7	2.83	21.53	3.29	0	0.82	1.03	5.14	0.84	0.6	1.44	0	0	0.05	0.35	0	0.39	0	0	0	0.2	0	0.2	1.00E+00	4.81E-01	-2.87E-03	-911.6063	1.01E+00	4.03E+00	2.62E+00	-911.6034	1.01E+00	1.54E+00	0.55	10	73582000
HCM6620	"AY418626,AY418627,AY418628"	57152		Molecular function unclassified	Biological process unclassified	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.73E-04	1.73E-08	1.00E-04	1.73E-04	1.73E-08	1.00E-04	54	5.35	0.6	5.95	6.75	1.05	7.8	3.99	0.74	11.38	1.4	17.51	0.49	0	0.49	1.23	0	0	0.5	0	2.49	0	0	0	0	0	0	1.00E+00	1.00E+00	-9.18E-05	-582.292	1.14E+00	9.87E+02	7.11E+02	-582.2919	1.14E+00	1.39E+00	2.57	8	142778073
